@relation Review_sentiment


@attribute adjective_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
-0.27049999999999996,3
0.393,5
-0.14630000000000004,1
3.712000000000001,5
0.08830000000000002,2
0.3554,2
0,2
0.1814,2
0.397,3
0.011200000000000002,3
2.4428000000000005,5
-0.39099999999999996,1
-1.4155,4
0.3694,3
-0.3508,2
1.1112000000000002,4
0.0032000000000000006,1
0.8801999999999999,3
1.1019,3
1.6641000000000001,3
5.410299999999994,4
-0.7706,2
0.2811,3
-0.0425,1
0.004,1
6.995699999999996,4
1.0777999999999999,2
-1.2279999999999998,2
0.012,1
3.6649999999999996,5
0.703,4
-0.10410000000000011,3
1.9773,2
0.3716,3
0.3694,5
0.46680000000000005,5
1.9658,3
-0.06380000000000002,1
1.7456,4
-0.0019999999999999497,2
0,4
-2.029599999999999,2
1.4730999999999999,5
0.08220000000000001,3
3.9848999999999997,5
1.3862999999999999,2
-0.3540000000000003,3
-0.02040000000000006,2
0.36039999999999994,4
0.0937,4
-0.2596,5
-0.0167,1
0.008,4
0.17790000000000006,5
0,1
1.138,3
0.2061,1
-0.5971,1
1.2909000000000002,3
0.42469999999999997,5
0.3372,2
0.2248,5
-0.08320000000000005,1
0.2559999999999999,4
-0.0167,2
0.7981999999999998,5
-0.8115000000000001,4
-2.5562999999999994,1
1.7655999999999998,3
0.004,3
-0.3066,1
0.24500000000000002,2
0.15980000000000005,1
0.004,3
0.4012,3
0.02960000000000001,4
0.37079999999999996,1
-0.0019999999999999497,2
-0.9206,2
0.6221,5
-0.07289999999999999,1
0,5
3.6810000000000005,3
0.5106,2
-0.1901,4
-0.9786,5
-0.538,1
2.2977,5
0.4092,4
0,1
-0.18429999999999996,1
0.3716,4
2.0291000000000006,4
-0.4235999999999999,3
3.1782,4
-0.005599999999999999,2
0,1
1.2982,5
-0.2634,2
0.6301,5
0.2114,2
0.5417,1
0.8573,5
0.7432,4
-0.42599999999999993,4
0.0744,1
1.2658,5
0.19349999999999995,3
2.1704,4
0.7459,5
0.953,5
2.3674999999999997,2
-0.1926,3
-0.8988,2
0.9077000000000001,4
0.8849,3
0.8448,3
0.8609,2
0.3796,1
1.2738,1
1.3497,4
0.1215,4
2.0328999999999997,5
0,2
-1.7746000000000002,1
2.9891,5
-0.2036,3
0.8728,5
-0.026399999999999983,1
0.8895,5
1.6235999999999997,5
0.004,1
0.3756,1
0.6489,4
0.7424,4
-0.3143,2
3.6810000000000005,3
1.8235999999999999,3
-1.1069,2
0.46649999999999997,3
-0.1473,2
0,3
-0.40379999999999994,4
-1.3946,1
0.4416,3
-0.8605999999999999,3
0.3716,4
-0.0096,1
-0.017,3
0.5954,3
0.5862999999999999,1
0.5828,5
0.3487,4
4.341399999999999,4
-0.49449999999999994,5
0.9336,4
0.5012,2
-0.2159,2
-0.9046,3
-0.8305999999999997,2
0.4003,4
0.2158,5
0.9638999999999999,2
0.2132,1
2.0458000000000003,5
0.5639,2
0.2827000000000002,3
0.1169,5
0.393,5
0.5106,3
0.2147,2
-0.9811000000000001,1
0.1169,5
0.9677,5
1.4701,1
0,1
0.5098999999999999,5
-0.1705,1
1.6178,5
1.9078999999999997,2
0.2291,5
-0.3819,1
1.7325,5
-0.1493,3
0.5673999999999999,2
-0.5725,3
-0.5241,1
