@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
-2.5734999999999997,1
0.4448,3
-0.9464,3
0.6073999999999999,4
-0.0096,1
-0.4909,3
0.5954,3
-0.38530000000000003,1
0.5828,5
-0.13,4
4.2404,4
-1.2001000000000002,5
0.9336,4
0.5012,2
-0.911,2
-0.9046,3
-4.258099999999999,2
-0.32940000000000014,4
0.2158,5
0.9096999999999998,2
-0.15309999999999999,1
2.2811000000000003,5
0.5639,2
-2.8719999999999994,3
0.1169,5
0.393,5
0.03190000000000004,3
-0.8346,2
-2.0283999999999995,1
0.1169,5
0.9677,5
1.4741,1
0.195,1
0.5098999999999999,5
-0.1665,1
1.8278999999999999,5
1.0993,2
0.2291,5
-0.8978999999999999,1
1.4059,5
-1.0231999999999999,3
-2.3606,2
-0.77,3
-0.9956000000000002,1
-0.08569999999999997,1
0.901,2
-0.6153,4
0.06050000000000001,3
1.5704,2
-5.235400000000002,4
-0.32180000000000003,2
1.2358,4
0.5395,4
-0.7099,2
-0.021,1
-0.3865,3
0.7828999999999999,5
-0.42489999999999994,4
1.5309999999999997,4
-0.2185000000000001,3
1.1075,4
0.9826,4
-3.2371999999999996,3
-1.5683999999999998,1
0.2384,4
0.18439999999999995,1
0.9155999999999997,4
0.47740000000000005,3
-0.7634,2
0.8998999999999999,5
-0.9755,2
0.14229999999999987,3
-4.108500000000001,2
1.337,5
-0.12410000000000027,4
1.0271,5
-3.8415999999999997,2
-1.2916,1
-0.01090000000000002,2
0.3399,4
-1.3930999999999998,2
0.7098,5
0.23080000000000012,2
-0.4126999999999999,1
0.7942999999999998,3
0.401,5
0.9736,3
0.3882,4
-0.0007999999999999995,1
-1.0503000000000002,1
0.4863,4
-0.8733000000000002,3
1.7944,2
-0.7409,1
-0.2929,1
0,4
0.12490000000000001,5
-0.3542,1
0.008,5
-0.1395,3
-0.2489,3
0.008,5
-0.2973,2
1.0762999999999998,2
-0.9002000000000001,1
0.7055,4
0.004,4
0.3046,2
-0.7305999999999999,3
0.4973999999999999,2
1.6106,4
1.4385999999999999,1
0.3836,5
-0.579,2
-0.05989999999999995,5
-2.5805999999999996,1
0.09020000000000002,3
4.131599999999995,4
1.4317999999999993,3
-1.4785,4
0.6766000000000001,3
0.6169,5
0.004,5
-0.3115,3
-0.21249999999999994,3
1.0952000000000002,2
-8.691600000000001,1
1.1002,4
-1.204,1
-0.9293,2
0.5801000000000001,5
-0.12619999999999984,1
-2.8254,3
-0.4384,1
-0.5251,2
-1.1867,4
0.2458,5
-2.0234,5
0.7251,5
1.0631000000000002,4
-0.20670000000000002,2
-1.9571999999999998,2
0.3836,2
-1.2341,4
2.5657,5
-0.4743,2
-0.0776,1
-0.7129999999999999,3
0.25999999999999995,3
0.3962,4
0.8259,5
-0.10110000000000002,1
0.0021999999999999797,3
0.2238,1
-0.7932000000000001,3
0.008,1
2.2851,5
0.17009999999999986,5
2.7724,4
-3.6273000000000004,3
0.014000000000000009,4
0.5111000000000002,3
-2.5567,2
0.2761,2
0.004,5
-0.4747,4
-1.4214999999999998,2
-0.2596,4
-2.9899,1
-2.8429999999999995,3
4.131599999999995,4
0.2641000000000001,1
-0.23209999999999997,4
-0.416,3
1.1240999999999999,3
0.19390000000000002,1
-0.7705,2
1.3092,1
0.4465,2
-2.3479,2
0.036899999999999995,4
0.48069999999999985,3
1.1943,1
-0.2575,4
-0.9202,2
0.4759,4
-0.5056000000000003,2
0,4
-0.2541,1
0.8187,4
0.9722999999999999,5
-0.7536,2
0.3173,2
1.0066000000000002,3
0.43149999999999994,2
-2.0536,1
0.30529999999999996,5
0.3922,3
-0.5718000000000002,1
0.2243,4
-0.5696,5
-0.4060000000000001,1
-0.005400000000000023,4
-0.6164000000000001,5
0.6293,3
0.79,5
0.6353,5
-0.3562,3
-1.2244999999999997,4
-0.3487,3
-0.2796,5
0.012,1
-1.8725999999999998,1
0.04970000000000012,5
-0.3296,2
-2.7163999999999997,3
0.7283000000000001,5
-0.8612,2
1.7844000000000004,5
-1.6214,3
0.393,4
-0.1413,1
0.264,1
-0.9859,2
-1.15,1
0.8577,3
1.2115000000000002,5
1.5807,4
0,3
-1.0019,2
0.2106,5
0,3
1.0414,3
-0.15760000000000002,2
-0.5066999999999999,2
1.3340999999999998,5
3.9517,4
-0.11130000000000001,1
0.004,1
-0.12119999999999992,3
0.47169999999999995,4
2.782,4
0,1
-0.009600000000000053,4
-1.2964,1
1.9486000000000003,5
0.7185999999999999,5
0.4778,3
-1.434,1
0.8091000000000002,4
0.08459999999999997,1
-1.0507,1
0.582,5
0.8944,2
-0.4687,2
0.37249999999999994,5
-1.156,2
1.0793,4
0.7432,2
0.9728999999999999,1
-1.1978,2
-0.3487,3
-0.3793,5
-0.5383999999999998,3
0.8681,5
0.5814999999999999,4
0.004,3
-0.738,4
-0.6399,2
1.3096,5
0,3
-0.47529999999999983,4
0.15930000000000016,3
0.264,1
0.393,4
1.3219,2
0.3721,5
3.9007000000000005,3
0.373,2
1.8278999999999996,3
0.3774,5
0.23460000000000003,1
-1.3319999999999999,4
0.8588,1
-0.30699999999999994,3
0.231,1
1.6299000000000001,4
0.4715,4
0.6334,2
-0.4747,1
2.1690000000000005,4
-0.6447,1
0.9294,5
1.0751000000000002,4
1.5473,5
1.7582000000000009,3
0.5303,5
0.004,5
0.3872,4
0.1874999999999998,3
-0.0817,1
-0.3275,1
-0.6952,4
0.19159999999999988,5
-1.0704,2
0.5061,2
0.5955,5
-0.2422,4
-0.31079999999999997,3
-0.6291,2
0.2723,2
-0.7666,1
0,3
-0.6502000000000001,2
0.4836999999999998,5
0.30419999999999997,5
0.5270999999999999,3
-9.385300000000004,2
-1.0202,1
-0.04459999999999986,3
1.2224000000000004,4
0,2
0.3716,4
-0.014900000000000024,4
-0.3720000000000001,5
1.3845,4
-0.6762999999999999,2
-0.8391,2
3.117399999999999,4
0.5092,5
-1.1743000000000001,3
0.7852999999999999,1
2.719,3
-0.39130000000000004,2
0.4471000000000001,2
-0.43350000000000005,1
-0.4587,1
-1.1282999999999999,4
1.4392,5
-0.7985,3
0.4988,3
0.08309999999999998,4
-0.5999000000000001,3
2.9705,3
-0.26159999999999994,1
1.8462999999999998,5
0.12090000000000001,2
-1.018,1
-0.9699000000000001,4
-1.8759,2
-0.2995000000000001,5
-0.6809000000000002,1
-0.14889999999999998,4
-1.1555,2
0.43989999999999996,2
0.4818,5
-0.0434,1
-0.4938,1
0.25389999999999996,3
-0.7666,2
3.1086,5
0.35930000000000006,1
1.295,2
2.646,3
1.2105,4
2.2615,3
-0.3129,1
1.7273999999999998,5
-0.30939999999999995,4
-0.1553,3
0.48529999999999995,5
1.1148,5
0.42669999999999997,3
0.4925,5
-1.3275000000000001,1
0.5196,5
0.05570000000000004,3
0.9471,4
0.007200000000000001,2
0.7432,4
0.6693,4
-0.1565,1
0.004,5
0.3567,2
0.36609999999999965,3
3.7003000000000004,5
2.6071,5
0.872,4
1.0144,1
-1.3410000000000002,1
-0.39899999999999997,1
-0.06080000000000005,1
2.1431,3
-0.4787,3
0.6990999999999999,3
0.036900000000000044,2
2.5854000000000004,4
0.007200000000000001,3
-0.2715,3
-1.2405000000000002,1
-4.977699999999999,2
-0.31040000000000006,3
0.7017,2
1.3971,4
0.3796,4
1.5677999999999999,5
0.12019999999999997,5
-3.6765999999999988,1
0.04479999999999998,2
-0.9825999999999999,3
-1.3659000000000001,2
0,2
0.7789999999999999,1
-0.7888999999999999,2
0.6709,5
0.477,4
-0.2550000000000001,1
0.5139,5
-0.5643,4
-0.7006,2
3.9436999999999998,4
-0.6276,5
-0.14100000000000007,4
0,2
0.23949999999999988,2
0.1131,5
0.401,5
0.9348000000000001,5
-2.3354999999999997,2
-1.2405000000000002,1
-1.0530000000000002,3
-0.0048,1
-1.3517000000000001,1
-1.9870999999999999,1
1.0669,2
1.2502,4
1.8958,4
0.9149,5
-2.4151000000000007,1
0.5701,1
0.231,1
1.8839999999999997,3
0.08889999999999998,3
2.1987,4
0.6199,3
1.041,2
0.008,4
0.4832,4
-1.2428,2
0.22049999999999992,2
1.6171,3
0.3922,5
-0.8127000000000002,3
1.3199999999999998,5
0.43300000000000005,2
-0.08980000000000007,3
-0.08630000000000004,1
0.004,4
2.693,3
1.0625,2
0.6993,5
-0.29530000000000006,3
0.7274,1
-1.1514999999999997,2
-0.30450000000000005,4
2.2462999999999997,5
6.281199999999998,5
0.4759,4
0,1
0.4718,4
0.06220000000000003,3
0.5059,5
0,4
-0.35640000000000005,5
-3.913,2
0.008,1
0.6719999999999999,5
-0.42490000000000006,4
0.8542000000000001,3
-0.438,3
0.22560000000000002,5
-0.1906,3
-1.0831999999999997,3
2.2226999999999997,2
0.35219999999999996,1
1.9847000000000004,3
-0.3363,1
-3.5552999999999995,2
0.4925,4
0.008,1
-0.1282,1
0.8934999999999998,4
1.8272,5
0,3
0,2
0.5356,2
4.278700000000001,2
-0.02779999999999992,1
0.7222999999999999,1
-2.9261999999999997,2
7.843199999999996,4
-0.9307000000000001,3
0.008,3
1.9844000000000002,3
-0.9772000000000001,4
0.401,5
-0.2456,1
2.1397,5
0.6729,4
-0.3806999999999999,5
-1.3269,1
0.3796,4
-2.6886999999999994,2
2.0662999999999996,5
-0.08820000000000003,4
-0.3298,2
0.4293999999999999,4
-0.346,1
-3.159,3
0.3716,5
0.7028000000000001,5
-0.32740000000000014,2
-0.12000000000000008,3
-1.1221,1
0.19390000000000002,1
5.519099999999999,3
0.9274,4
-0.5126,3
-0.8978999999999999,1
-0.6607999999999998,3
0.004,3
2.2274,5
0,1
-0.7294,1
0.667,4
-1.0547,2
0.14409999999999998,5
3.7115,4
0.38930000000000003,1
0.6881999999999999,4
0.25510000000000005,5
0,4
0.3716,5
0.004,1
1.6421000000000001,5
0.5187999999999999,5
0.004,4
-0.8573999999999999,1
0.7272000000000001,4
4.2218,5
0.115,1
0.0908,4
0.2623,4
-0.6691,1
0.05519999999999997,3
0.2181,5
0.010400000000000003,2
-5.075100000000001,2
0.3225,2
-0.3728,2
0.3637,5
-0.1448,2
0.6551,3
1.295,2
0.02510000000000001,2
0.1212,2
0.3756,3
-0.329,3
0.7915,4
0.13079999999999992,5
0.8502999999999998,2
-0.012699999999999993,5
0.059699999999999975,3
0.19979999999999998,4
-0.31970000000000004,2
0.5436000000000001,5
0.5433,4
-0.0007999999999999995,3
0.4145,3
0.7552,3
0.7804,3
0.21009999999999995,5
1.0602,4
-0.5511999999999999,1
0.393,4
0.6175,5
-0.18719999999999995,1
2.0367,4
-0.8813,4
-0.7761,4
-0.24050000000000002,4
0.5215000000000001,3
-0.02780000000000002,2
-0.47079999999999994,2
0.3756,3
0.9702000000000001,5
0.393,4
-3.4751999999999996,1
1.2295,4
0.5475000000000001,1
0.6935,2
0.6204999999999998,1
-0.3337,3
1.594,2
-0.9406,3
0.6621,2
-0.22729999999999992,2
-0.4979,5
-0.4584000000000001,2
1.1627000000000003,2
1.5737999999999999,5
0.022099999999999898,2
-1.4003999999999999,1
0.9264999999999995,5
-1.9822000000000002,1
0.15789999999999993,3
0.17709999999999998,1
0.1405,1
1.3096,5
0.008,1
-1.0358,5
-0.21540000000000004,3
-0.7040000000000002,3
0.43879999999999997,4
0.5926,2
0.42400000000000004,3
-1.2427,4
0.191,1
0.6876,3
-0.9854,2
0.6185,5
0.625,5
0.45650000000000013,2
