@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute adjective_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
-0.536,94,-0.5312,-0.0048,1
-0.4515,57,-0.065,0,2
-0.9052,23,-1.1193,0.2141,3
0.9077,25,0.5891,0.3186,5
1.1120999999999999,22,1.1080999999999999,0,5
1.0385,137,1.2125,-0.174,4
-0.3129,31,-0.3129,0,1
-0.1327,77,0.1722,-0.3089,1
0.3593,191,0.2579,0.1014,2
-1.9413999999999993,319,-0.34560000000000013,-0.7095000000000001,3
-0.21050000000000008,76,0.16799999999999998,0.004,4
-2.2217000000000002,344,-0.8021,-1.3390000000000002,2
-0.22419999999999993,234,0.3636999999999999,-0.10920000000000002,2
0.5766,26,0.5766,0,1
0.09680000000000001,92,0.008,0.004,4
0.7792,37,0.7752,0.004,5
-0.06920000000000004,23,0,-0.06920000000000004,1
0,24,0,0,4
0.33330000000000004,27,0.1008,0.2325,5
-0.5,31,0,0,1
-0.33580000000000004,66,0,-0.331,1
-1.6838,343,0.8271999999999999,0.216,3
2.2186,125,2.1224,0.09620000000000001,2
-0.493,63,-0.493,0,3
1.1842,43,1.1842,0,5
0.5195,23,0.5195,0,5
-0.9854,234,-0.6688000000000001,0,2
1.3517,56,1.3517,0,5
0.6022,23,0.6022,0,5
-0.8839000000000001,155,-0.5707,-0.2598,1
1.3564,49,0.8808,0.4756,4
1.6584999999999996,142,1.624,0.4324,3
-0.0817,22,0.393,0.004,1
-1.1045999999999996,535,-0.4964999999999998,-0.0007999999999999995,2
0.008,40,0.004,0.004,1
0.0946,47,0.0946,0,3
0.36609999999999965,371,0.8434,0.6643999999999999,3
-1.2244999999999997,446,-0.7562999999999999,0.7649,4
-0.37360000000000004,122,0.10109999999999997,0,1
-0.2675,43,-0.2675,0,4
1.7352,910,4.7867,0.018500000000000016,2
1.3436,22,1.3436,0,5
-0.9502999999999999,205,0.34380000000000005,0.008,3
1.5704,194,0.7951000000000001,0.5905,2
2.184,137,2.6723,0,3
2.2105,182,2.5930000000000004,0.004,4
-1.7204,385,0.3845,0.012,2
4.4822,443,4.0783,0.7388999999999999,3
1.3586,177,1.7728,-0.4182,5
2.3809,167,2.3825,-0.0007999999999999995,4
-0.44139999999999996,78,-0.39499999999999996,0,1
1.7184000000000001,29,1.7144000000000001,0.004,5
-2.9127,160,-2.6210000000000004,0.0908,4
1.5957999999999999,30,1.1166,0,4
0.5828,25,0.5828,0,5
-1.8785,430,-1.4638,-0.2464,4
0.004,24,0.004,0,4
-0.0422,26,-0.0422,0,3
-1.5377999999999998,216,-1.3027,-0.24309999999999998,1
0.49639999999999995,40,0.5012,-0.0048,2
-1.5989,250,0.694,-0.45910000000000006,1
1.1505,89,0.8886999999999999,0.2578,3
0.0028999999999999816,65,-0.24490000000000003,0.2478,2
0,120,0,0,2
1.2962,181,1.0715999999999999,0.2294,2
0.3458,59,-0.0007999999999999995,0.0997,5
-1.3973000000000002,210,-1.1397000000000002,0.12090000000000001,2
0.9628,39,0.9628,0,4
0.2741,92,0.3557,0.4324,1
1.0175,61,0.8265,0,5
-1.0274999999999999,210,0.6136,-0.07200000000000004,2
-0.6607999999999998,171,0.24690000000000004,0.008,3
1.0037,297,1.1647999999999998,0.23500000000000001,3
1.3794,20,1.3794,0,5
1.2107999999999999,143,1.2418,-0.031,4
1.5198,216,0.7536999999999998,0.008,4
-0.3353,79,0,-0.3353,1
-0.8293000000000001,171,-0.35380000000000006,0.004,3
2.1682999999999995,71,1.9772999999999998,0,5
2.1466,244,2.7504,0,5
0.9961,100,0.9881,0.008,5
-0.10309999999999997,175,0.36040000000000005,0.008,4
0.8194999999999999,35,0.3756,0.44389999999999996,1
-0.0167,30,-0.0167,0,3
-0.02729999999999999,24,0.5052,-0.5325,3
1.3391999999999997,257,1.5743,0.6915,4
0.22029999999999997,54,0.695,0.004,5
-0.9206,50,-0.9206,0,2
1.0821999999999998,144,1.3290999999999997,0.008,4
-0.6514,103,-0.2715,0.004,1
1.2584,57,1.2584,0,4
0.4962,230,0.4938,0.008,2
0.5609999999999999,166,0.3412,0.4294,1
-0.7706,50,-0.7706,0,2
0.38530000000000003,43,0.7143,-0.329,3
-0.8230999999999999,149,-0.14589999999999997,-0.29069999999999996,3
2.5015,207,2.0531,0.4404,5
-1.6682,51,-1.1935,0,1
-1.3373000000000002,126,-1.2995999999999999,-0.7173,1
