@relation Review_sentiment


@attribute token_number numeric
@attribute overall_sentiment numeric
@attribute adjective_sentiment numeric
@attribute noun_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
61,-0.8117000000000001,0,0,-0.333,1
510,-3.3918,-2.0772,-0.4254,-0.49129999999999996,2
43,-0.1506,-0.1506,0,0,4
42,-1.2829000000000002,-0.3352,-0.469,0,1
100,-0.028700000000000062,-0.028700000000000062,0,0,3
101,-0.08579999999999997,-0.09379999999999998,0.004,0.004,3
59,2.24,1.5897999999999999,0.6502,0,4
22,0.004,0.004,0,0,3
106,-1.3377,-1.1516,0.3552,-0.5413,1
50,0.3,0.3,0,0,3
87,0.6717,0.2393,0,0.4324,4
188,-0.08590000000000006,0.1011,-0.0483,-0.13870000000000002,3
56,-0.10670000000000002,0.3716,-0.4783,0,1
160,-0.2722,-0.2802,0,0.008,3
68,0.948,0.46609999999999996,0,0.4819,5
65,0.5197,0.30710000000000004,0,0.2126,4
212,0.27439999999999987,0.5749,-0.7327,0.4322,1
72,-0.6539999999999999,-0.31150000000000005,-0.3465,0.004,2
112,-1.0855000000000004,0.5949,-0.9330999999999999,0.2101,1
284,-0.7690000000000001,-0.09370000000000003,-1.1155,0.7736000000000001,1
23,0.7037,0.6997,0,0.004,2
36,0.11049999999999999,0.11049999999999999,0,0,4
43,0.09789999999999999,0.09789999999999999,0,0,3
55,-0.8651,-1.3933,0,0.3372,1
92,-0.04040000000000002,-0.05240000000000003,0.004,0.008,2
45,1.2346,1.2306,0,0.004,3
180,0.06040000000000001,0.46860000000000007,-0.6224000000000001,0.219,1
40,0.8418,0.8418,0,0,3
51,0.7589999999999999,0.7589999999999999,0,0,2
36,-0.3216,-0.3256,0.004,0,2
49,-0.2243,0.3716,-0.5959,0,2
33,1.3237999999999999,1.3197999999999999,0.004,0,5
63,0.0010000000000000009,0.48050000000000004,-0.0007999999999999995,0,2
49,0.6094999999999999,0.6094999999999999,0,0,1
24,0.008,0.004,0,0.004,2
48,1.504,1.496,0,0.004,5
26,-0.10930000000000001,0.3694,0,0,3
83,0.6778,0.6778,0,0,4
100,1.6882,1.6882,0,0,5
59,0.719,0.719,0,0,4
50,-0.4006,-0.1998,-0.2088,0.008,2
51,1.1148,1.1148,0,0,4
60,0.3854,0.3814,0.004,0,4
35,0.7432,0.7432,0,0,3
221,1.2465000000000002,1.4881000000000002,0,-0.24080000000000001,3
54,0.4884,0.4764,0.004,0.008,4
63,1.7763,1.7723,0,0.004,5
82,-0.3509,-0.2595,-0.3392,0.2478,5
25,-0.2715,-0.2715,0,0,3
23,1.2122000000000002,1.0172,0,0.004,5
51,0.7584,0.7592,0.004,-0.0048,5
146,-0.9653,-0.1871,0.004,0.1752,1
72,-0.3912,-0.3952,0,0.004,1
22,-0.0547,0.3278,-0.3865,0.004,5
107,0.7964000000000002,0.5445000000000001,0,0.2519,4
24,-0.7502,-0.2715,0,0,1
59,-0.5318,-0.5270000000000001,-0.0048,0,2
434,-0.4439,0.011600000000000055,0.004,0.024,4
64,1.0246,1.0206,0,0.004,5
31,0.7472,0.7472,0,0,4
31,0.5828,0.5828,0,0,3
22,0.8768,0.8768,0,0,2
23,0.3716,0.3716,0,0,3
65,-0.7636000000000001,-0.08960000000000001,-0.1993,0,1
40,0,0,0,0,5
32,0.393,0.393,0,0,4
140,0.6658,1.0260999999999998,-0.3547,-0.005599999999999999,3
23,0.3716,0.3716,0,0,1
78,0.3862,0.3822,0.004,0,2
20,0.8768,0.8768,0,0,4
46,0.20969999999999997,0.20169999999999996,0.004,0.004,5
48,0.23489999999999997,0.23489999999999997,0,0,2
85,1.1861000000000002,1.1851,0.1799,-0.1789,4
30,0.2381,0.2381,0,0,1
57,0.7172999999999999,0.5093,0,0.208,5
24,0.004,0,0,0.004,1
137,0.011200000000000002,0.012,-0.0007999999999999995,0,3
25,0.5146000000000001,0.5106,0,0.004,5
43,-0.1134,-0.1134,0,0,1
52,-0.6997,-0.346,-0.3537,0,1
58,0.008,0.008,0,0,3
90,0.012,0.004,0.004,0.004,2
22,-0.1561,-0.1513,0,-0.0048,1
221,-0.5063000000000001,-0.5362,0.0781,-0.0482,5
26,0.012,0.008,0.004,0,5
42,0.47559999999999997,0.47559999999999997,0,0,4
21,0.3716,0.3716,0,0,5
54,0.4684,0.47319999999999995,0,-0.0048,3
40,-0.6581,-0.6621,0,0.004,2
115,-0.6112,-0.2842,0.004,-0.331,2
52,-1.5334999999999999,-1.0548,0,0,1
30,1.0253,1.0213,0.004,0,2
32,0.3756,0.3716,0,0.004,2
237,-0.16450000000000004,0.5943,0.008,-0.7668,4
22,1.1095,1.1055,0,0.004,5
142,-0.6154000000000001,0.07319999999999999,-0.3105,0.1006,3
99,0.4035,0.4091,-0.0048,-0.0007999999999999995,4
39,0.11280000000000001,0.10880000000000001,0.004,0,3
46,-0.6906000000000001,-0.38170000000000004,0.004,-0.3129,1
46,0.2232,0.2232,0,0,3
88,0.4234,0.4234,0,0,4
24,0.7419,0.7339,0.004,0.004,5
120,0.7343000000000001,0.8846999999999999,-0.3454,0.195,4
51,-1.7024000000000001,-0.543,-1.3504,0.191,2
99,-0.5650999999999999,0.2658,-0.769,-0.0619,1
25,0.7686,0.7686,0,0,4
50,0.6819,0.5891,0.004,0.008,5
60,-0.04980000000000004,-0.04980000000000004,0,0,2
34,0.9632000000000001,0.9632000000000001,0,0,3
59,0.9599,0.3716,0.0711,0.4364,5
39,0.3796,0.3756,0,0.004,4
30,0.004,0,0.004,0,1
42,0.6618,0.6578,0.004,0,2
279,1.43,1.6293,0.004,-0.20329999999999998,5
35,0.2492,0,0.2492,0,2
20,0.3796,0.3796,0,0,2
98,0.1774,0.1774,0,0,2
118,0.04069999999999985,0.036699999999999844,0,0.004,3
27,0.7472,0.7432,0,0.004,3
36,-0.2675,-0.2675,0,0,3
25,-0.47950000000000004,-0.0007999999999999995,0,0,3
140,0.19919999999999993,0.7291000000000001,0.3192,-0.3704,1
37,0,0,0,0,1
43,0.017600000000000005,0,0.3446,-0.327,1
40,0.02960000000000001,0.02560000000000001,0.004,0,2
136,-0.7750000000000001,-0.4499000000000001,0,-0.3251,4
33,0.004,0.004,0,0,1
63,0.046599999999999975,0.3756,0,-0.329,4
39,-0.14809999999999998,-0.1561,0,0.008,5
66,-0.33180000000000004,-0.0007999999999999995,0,-0.331,2
642,-4.400199999999999,-3.5446999999999997,-1.4865,0.631,1
158,-0.11400000000000002,-0.1812,0.2452,-0.178,4
100,0.37889999999999996,0.3837,0,0,2
137,2.3197,2.3125,0.012,-0.0048,5
208,2.9328,2.3752999999999997,0.004,0.5535,4
32,0.004,0.004,0,0,5
99,0.9510000000000001,0.9470000000000001,0,0.004,4
23,0.08220000000000001,0.08220000000000001,0,0,5
34,0.3756,0.3756,0,0,4
85,0.49760000000000004,0.405,0.0926,0,3
53,0.7589,0.3145,0,0.4444,5
83,-0.028600000000000014,0.3539,-0.3865,0.004,3
77,0.7837999999999999,1.1148,0,-0.331,3
48,-0.6604,-0.623,-0.0494,0.012,1
31,0.6251,0.3822,0.2429,0,5
31,0.36109999999999987,0.8357999999999999,0.004,0,2
43,-0.6435,0.2338,-0.8773,0,1
65,0.18560000000000004,0.5368999999999999,-0.3465,-0.0048,1
23,0.8633,0.8593,0.004,0,2
24,-0.10930000000000001,0.3694,0,0,3
28,0.7766,0.7686,0.004,0.004,3
25,0.0947,0.0907,0.004,0,5
34,0.030700000000000005,0.030700000000000005,0,0,4
64,1.4341,1.7671000000000001,0,-0.333,3
201,-3.4179,-1.4605,-0.668,-0.332,2
53,-1.7031,-1.7111,0.004,0.004,5
41,0,0,0,0,1
50,0.8593,0.8553,0,0.004,4
24,0.17360000000000003,0.5066,0,-0.333,4
