@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute binary_judgement {good, bad}
@data
116,-1223.28,3073.28,-6432.76,2136.21,good
32,871.875,15831.3,0,0,bad
42,1676.19,2404.76,0,-728.571,bad
19,-48152.6,-48363.2,0,210.526,bad
32,17318.8,6781.25,0,10537.5,good
28,-23885.7,142.857,-12064.3,-11964.3,bad
58,-5651.72,277.586,0,-5929.31,good
338,-755.917,738.462,11.8343,-1492.01,bad
77,5516.88,2736.36,0,2780.52,good
23,-33504.3,-33504.3,0,0,bad
24,-24350,-10379.2,0,-13970.8,bad
23,-38160.9,-17347.8,0,0,bad
34,-27273.5,-13194.1,0,0,bad
57,-2584.21,-2584.21,0,0,bad
34,24767.6,24650,0,117.647,good
83,-9360.24,-10381.9,48.1928,0,bad
22,32581.8,32036.4,181.818,363.636,good
25,-34072,-1684,0,-13240,bad
45,33006.7,32917.8,0,88.8889,good
89,-1456.18,2240.45,0,-3696.63,bad
53,5866.04,5866.04,0,0,good
23,-18917.4,1895.65,0,0,bad
25,26928,9632,0,17296,good
48,-5920.83,-5920.83,0,0,bad
21,-228.571,-228.571,0,0,bad
37,12867.6,12759.5,0,108.108,bad
23,10182.6,10182.6,0,0,good
38,-10728.9,9223.68,0,5242.11,good
19,6036.84,5405.26,421.053,210.526,good
183,3923.5,4498.36,-1863.39,1288.52,bad
38,-24121.1,-24121.1,0,0,bad
51,21143.1,11747.1,9396.08,0,good
82,-5480.49,-5480.49,0,0,bad
53,26837.7,17720.8,9116.98,0,good
161,-2996.27,2352.8,-2375.78,0,good
22,-7709.09,-7890.91,181.818,0,good
118,-1574.58,33.8983,-692.373,-916.102,good
32,3887.5,-5203.12,2221.88,6868.75,bad
43,-19532.6,-19532.6,0,0,bad
30,266.667,133.333,0,133.333,good
45,355.556,177.778,88.8889,88.8889,good
23,15104.3,15104.3,0,0,bad
24,3875,3875,0,0,good
24,-35520.8,-49670.8,0,14150,bad
63,5885.71,5961.9,0,-76.1905,bad
132,-7909.85,1941.67,-7343.94,-2507.58,bad
24,0,0,0,0,bad
49,6642.86,6642.86,0,0,bad
20,19650,19650,0,0,bad
34,11558.8,11558.8,0,0,bad
155,8200,8148.39,25.8065,25.8065,good
30,23736.7,23736.7,0,0,bad
26,19484.6,19484.6,0,0,good
92,-8858.7,-254.348,0,-3401.09,bad
31,-14922.6,390.323,0,129.032,bad
292,-2077.74,547.26,626.37,27.3973,bad
117,-5210.26,-3390.6,0,2271.79,bad
112,-14030.4,-12093.8,35.7143,2301.79,bad
47,1419.15,7906.38,0,-6487.23,good
159,-5877.99,-2122.64,-3755.35,0,bad
26,0,0,0,0,bad
95,-8248.42,-3251.58,42.1053,0,bad
60,-7051.67,-530,-6441.67,-80,good
100,2203,2203,0,0,bad
58,-18648.3,0,-10394.8,0,bad
25,51008,51008,0,0,good
28,-9407.14,-9407.14,0,0,good
23,-22995.7,-23169.6,0,173.913,bad
37,16275.7,16275.7,0,0,bad
81,1591.36,1443.21,0,148.148,bad
70,22027.1,18830,0,3197.14,good
24,-35325,-1108.33,-14270.8,0,bad
45,15842.2,15842.2,0,0,good
37,16478.4,10043.2,0,0,bad
20,26955,0,0,0,good
38,-19178.9,-6028.95,105.263,-657.895,bad
24,19387.5,19387.5,0,0,good
22,-677.273,16890.9,-17568.2,0,good
47,25731.9,25731.9,0,0,good
119,21842,15144.5,4026.89,2710.92,good
24,33591.7,25091.7,0,8500,good
60,25340,25273.3,66.6667,0,good
81,25660.5,25660.5,0,0,good
55,-11129.1,9178.18,-14054.5,-6252.73,good
112,-10834.8,-6766.07,-3450.89,-653.571,bad
20,-12570,-12570,0,0,good
122,-3954.1,927.049,-437.705,-4443.44,bad
54,10111.1,1237.04,8874.07,0,bad
258,8508.91,9032.17,-538.76,15.5039,good
20,5845,5845,0,0,bad
176,7266.48,6675,45.4545,0,good
270,2807.41,5008.15,-1282.22,14.8148,bad
417,-178.657,2338.61,-1609.59,240.288,good
38,-1531.58,0,-1531.58,0,bad
44,-12009.1,-12009.1,0,0,bad
45,16360,16466.7,0,-106.667,bad
89,1562.92,5241.57,-3768.54,89.8876,bad
70,-15075.7,-1467.14,57.1429,-6827.14,bad
24,42495.8,42329.2,0,166.667,good
56,-2378.57,3567.86,0,-5946.43,good
128,-2636.72,3242.97,31.25,-5910.94,bad
56,-901.786,19046.4,0,-19948.2,good
69,3071.01,117.391,2953.62,0,bad
272,-4507.35,-509.191,-1050.74,-1187.5,bad
99,3969.7,3969.7,0,0,bad
36,34269.4,34269.4,0,0,good
48,8187.5,8187.5,0,0,bad
40,-23925,100,-12057.5,0,bad
43,-11409.3,281.395,-11690.7,0,bad
54,6229.63,0,-88.8889,6318.52,bad
26,-6234.62,6992.31,0,-13226.9,good
107,6657.01,7766.36,-3200.93,2054.21,bad
36,336.111,225,0,111.111,bad
79,16602.5,16501.3,50.6329,50.6329,bad
25,160,0,0,160,bad
101,16947.5,15784.2,0,1163.37,good
155,-7781.29,-7781.29,0,0,bad
22,-21140.9,-21140.9,0,0,bad
40,18780,18780,0,0,good
22,82631.8,78440.9,0,4190.91,good
44,2195.45,-18.1818,0,2213.64,bad
66,-7131.82,60.6061,0,60.6061,bad
43,5588.37,16720.9,0,0,bad
73,-8719.18,-8294.52,0,-424.658,bad
53,-4073.58,1830.19,0,-5903.77,bad
125,-11875.2,-7583.2,0,-4292,bad
72,1484.72,3700,-5434.72,3219.44,bad
21,10657.1,0,190.476,10466.7,bad
95,-6410.53,2183.16,-3554.74,0,bad
25,-14952,4196,0,0,bad
