@relation Review_sentiment


@attribute token_number numeric
@attribute overall_sentiment numeric
@attribute adjective_sentiment numeric
@attribute noun_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
48,-0.2675,-0.2715,0,0.004,2
50,-0.005599999999999999,-0.0048,0,-0.0007999999999999995,2
51,-0.6717,-0.1352,0,-0.5365,5
84,-0.6833,-0.7633,0,-0.0007999999999999995,3
25,0.008,0.004,0,0.004,4
120,0.18059999999999998,0.17659999999999998,0,0.004,3
38,-0.6765000000000001,-0.6717000000000001,0,-0.0048,2
68,1.3218,1.3178,0,0.004,4
28,0.5808,0.5768,0.004,0,5
42,-0.0327,-0.0327,0,0,4
262,-0.06009999999999999,0.37479999999999997,0,-0.49529999999999996,5
72,0.21860000000000002,0.2106,0.008,0,3
45,0.3514,0.004,0,0.3474,5
71,0.5544,0.5504,0,0.004,4
45,0.004,0,0,0.004,3
31,0.8641,0.8601,0,0.004,4
26,-1.073,0,0,-0.5365,1
26,-0.33280000000000004,0.4774,-0.8102,0,3
48,0.0989,0.0949,0,0.004,5
250,-1.5399,-0.7408999999999999,-0.807,0.008,3
246,1.1882,1.1762,0.004,0.008,4
72,-2.045,-0.7498,-0.3378,0,2
29,0,0,0,0,1
23,1.2429000000000001,0.8378,0.004,0.4011,5
29,0,0,0,0,1
43,1.1126,1.1126,0,0,3
23,0.397,0.393,0.004,0,4
41,0,0,0,0,1
61,0.1615,0.37249999999999994,0,-0.211,3
21,0.1016,0.1016,0,0,2
27,-0.3769,0.1018,0,0,3
86,0.11860000000000001,0.5893,0.004,0.004,2
338,1.9904,1.7291999999999998,0.004,0.2572,4
48,-0.6501,-0.6621,0.004,0.008,2
37,-0.4691,-0.4691,0,0,3
21,0.8182,0.3756,0,0.4426,5
31,0.6104,0.3329,0.2823,0,5
22,0.012,0.008,0,0.004,5
27,-0.1562,-0.1562,0,0,2
24,0.09290000000000001,0.0849,0,0.008,3
40,0.3508,0.3516,0.004,0,2
24,0.1046,0.004,0,0.1006,1
45,-1.3163999999999998,-1.3163999999999998,0,0,3
145,-0.2238,0.1099,-0.3337,0,1
55,-0.4981,0.3631,-0.3865,0.004,2
48,0.6062000000000001,0.5982000000000001,0,0.004,5
29,0.004,0.004,0,0,4
52,0.02,0.012,0.004,0.004,5
24,0.004,0.004,0,0,2
32,-0.48430000000000006,-0.0007999999999999995,0,-0.0048,2
30,-0.7991,0,0,-0.7991,1
24,0.004,0,0,0.004,4
72,-0.28980000000000006,0.3589,-0.0048,-0.6439,1
124,0.45509999999999995,0.19490000000000002,-0.2088,0.46900000000000003,5
41,0.20650000000000002,0.20650000000000002,0,0,4
54,-0.2811,0.10540000000000001,-0.3865,0,5
33,0.7512,0.7432,0.004,0.004,4
28,0.008,0,0.004,0.004,4
22,0.10139999999999999,0.4879,-0.3865,0,4
26,0.2338,0.2338,0,0,3
49,0.13140000000000002,0.1282,0.004,-0.0048,3
116,-0.9420999999999999,-1.1819,0,0.2398,1
22,0.4752,0.4752,0,0,5
58,0,0,0,0,2
25,0.008,0,0.004,0.004,1
