@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute stars {1,2,3,4,5}
@data
0.6022,23,5
-0.8839000000000001,155,1
1.3564,49,4
1.6584999999999996,142,3
-0.0817,22,1
-1.1045999999999996,535,2
0.008,40,1
0.0946,47,3
0.36609999999999965,371,3
-1.2244999999999997,446,4
-0.37360000000000004,122,1
-0.2675,43,4
1.7352,910,2
1.3436,22,5
-0.9502999999999999,205,3
1.5704,194,2
2.184,137,3
2.2105,182,4
-1.7204,385,2
4.4822,443,3
1.3586,177,5
2.3809,167,4
-0.44139999999999996,78,1
1.7184000000000001,29,5
-2.9127,160,4
1.5957999999999999,30,4
0.5828,25,5
-1.8785,430,4
0.004,24,4
-0.0422,26,3
-1.5377999999999998,216,1
0.49639999999999995,40,2
-1.5989,250,1
1.1505,89,3
0.0028999999999999816,65,2
0,120,2
1.2962,181,2
0.3458,59,5
-1.3973000000000002,210,2
0.9628,39,4
0.2741,92,1
1.0175,61,5
-1.0274999999999999,210,2
-0.6607999999999998,171,3
1.0037,297,3
1.3794,20,5
1.2107999999999999,143,4
1.5198,216,4
-0.3353,79,1
-0.8293000000000001,171,3
2.1682999999999995,71,5
2.1466,244,5
0.9961,100,5
-0.10309999999999997,175,4
0.8194999999999999,35,1
-0.0167,30,3
-0.02729999999999999,24,3
1.3391999999999997,257,4
0.22029999999999997,54,5
-0.9206,50,2
1.0821999999999998,144,4
-0.6514,103,1
1.2584,57,4
0.4962,230,2
0.5609999999999999,166,1
-0.7706,50,2
0.38530000000000003,43,3
-0.8230999999999999,149,3
2.5015,207,5
-1.6682,51,1
-1.3373000000000002,126,1
0.6402000000000001,240,3
1.3415000000000001,30,4
0.022899999999999865,648,1
0.08310000000000001,48,2
0.3756,35,5
-2.0852000000000004,815,2
1.8250000000000002,44,5
0.7138000000000001,120,4
1.7806,116,3
-0.04820000000000002,245,2
0.19689999999999996,33,3
-1.2579,414,2
0.47479999999999994,115,4
-1.073,56,1
