@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute adjective_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
1.5198,0.7536999999999998,4
-0.3353,0,1
-0.8293000000000001,-0.35380000000000006,3
2.1682999999999995,1.9772999999999998,5
2.1466,2.7504,5
0.9961,0.9881,5
-0.10309999999999997,0.36040000000000005,4
0.8194999999999999,0.3756,1
-0.0167,-0.0167,3
-0.02729999999999999,0.5052,3
1.3391999999999997,1.5743,4
0.22029999999999997,0.695,5
-0.9206,-0.9206,2
1.0821999999999998,1.3290999999999997,4
-0.6514,-0.2715,1
1.2584,1.2584,4
0.4962,0.4938,2
0.5609999999999999,0.3412,1
-0.7706,-0.7706,2
0.38530000000000003,0.7143,3
-0.8230999999999999,-0.14589999999999997,3
2.5015,2.0531,5
-1.6682,-1.1935,1
-1.3373000000000002,-1.2995999999999999,1
0.6402000000000001,2.2013000000000003,3
1.3415000000000001,1.3375000000000001,4
0.022899999999999865,2.8836,1
0.08310000000000001,0.004,2
0.3756,0.3756,5
-2.0852000000000004,1.2609000000000004,2
1.8250000000000002,1.7213000000000003,5
0.7138000000000001,1.725,4
1.7806,1.5896,3
-0.04820000000000002,1.5407999999999997,2
0.19689999999999996,0.19689999999999996,3
-1.2579,0.524,2
0.47479999999999994,0.47959999999999997,4
-1.073,0,1
1.5444000000000004,2.4999000000000002,2
0.757,0.7538,1
1.0568,0.7118,5
3.3169000000000004,4.3337,4
-1.6013,-0.6982999999999999,3
0.0081,0.0081,4
-1.4819,0.1099,3
1.8375999999999995,2.4092,3
4.971299999999999,4.433,4
1.4534,0.6051,4
1.4162,1.209,5
0.3716,0.3716,1
-0.39130000000000004,-0.0048,2
-0.6802999999999999,-0.635,3
0,0,2
0.4589,0.8333999999999999,5
0.5783,0.5831,3
4.4358,4.2468,5
2.2516,2.5806,3
0.39849999999999997,0.38649999999999995,2
-3.3159,-0.5499,1
2.0099,1.9654999999999998,5
0.04620000000000002,0.04700000000000004,1
-0.48279999999999995,0.397,2
1.3693,1.3653,4
-0.2869,-0.15599999999999997,3
0.008,0,1
1.5704,0.7951000000000001,2
0,0,1
-0.3161,0,4
4.386799999999999,4.054399999999999,5
0.3587,0.3587,3
0.5172,0.5172,5
-1.1954999999999998,-1.1946999999999999,1
-1.7649000000000001,-0.01719999999999977,5
1.1286,1.1246,4
1.6523999999999999,0.41459999999999997,5
-0.44000000000000017,0.03009999999999997,1
-0.407,-0.7356,3
-2.365799999999999,0.9689000000000002,2
0.8106,0.5835999999999999,4
-0.2321999999999999,-0.4482999999999999,2
-0.4401,0.027400000000000035,1
-0.5509999999999999,-0.5549999999999999,2
0.2216,0.8569,3
-0.038099999999999995,0.008,5
-1.105,-0.6262999999999999,4
1.3235,1.5686,2
0.3228000000000002,1.0733000000000001,2
0.20619999999999994,1.0098999999999998,5
0.004,0,1
0.16929999999999995,0.36679999999999996,1
0.2177,0.2177,4
-0.0007999999999999995,-0.0007999999999999995,5
0.004,0,5
-0.1510999999999999,-0.20019999999999993,4
0.23949999999999988,0.29680000000000006,2
-0.7574000000000003,1.3262999999999998,4
0.24949999999999994,1.1095000000000002,4
2.2435,2.2315,5
-0.25420000000000004,0.2245,3
0.5472999999999999,0.8581,1
-2.0446,-0.5287999999999999,1
0.5857,0.3756,5
-0.679,0.1292,2
-2.0479,-0.5813,4
0.2408,0.2408,3
0.9373999999999999,1.9709000000000003,3
0.7942999999999998,1.2737999999999998,3
0.17749999999999994,0.6053,4
-0.09429999999999986,0.2815000000000001,1
0.2265,0.2265,2
-1.0503000000000002,-0.0849,1
-0.2042000000000004,1.7738,1
3.8915999999999995,3.7740000000000005,4
