@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
75,4314.67,7926.67,2717.33,53.3333,3
30,28260,16680,11580,0,5
44,17800,17709.1,0,90.9091,5
1006,1002.19,4134.49,-1525.75,-799.304,4
43,19958.1,11967.4,93.0233,7897.67,5
27,45537,45537,0,0,5
30,-13100,0,0,-13100,1
126,-10613.5,-10314.3,5393.65,-5692.86,1
32,17512.5,17512.5,0,0,5
185,-5742.7,-2584.32,-3649.73,491.351,1
54,16122.2,14750,1372.22,0,5
223,6818.83,1583.41,-188.789,4567.71,5
65,6149.23,18552.3,-12403.1,0,5
137,20163.5,18495.6,-70.073,1737.96,5
25,-21580,-6372,-1844,-13524,5
122,5772.95,8947.54,-3207.38,32.7869,4
23,16156.5,16156.5,0,0,5
29,41672.4,41837.9,-165.517,0,5
22,26209.1,26209.1,0,0,5
177,4696.05,4696.05,0,0,4
23,30739.1,347.826,20834.8,9556.52,5
19,73936.8,73726.3,0,210.526,5
22,0,0,0,0,1
29,42010.3,42010.3,0,0,5
63,4607.94,126.984,4480.95,0,4
201,-5582.59,-3679.6,-1902.99,0,1
223,-368.161,2977.13,-4384.75,1039.46,3
283,3333.22,5592.93,-1270.32,-989.399,3
88,6709.09,6709.09,0,0,5
82,17508.5,17567.1,-58.5366,0,5
76,555.263,4942.11,-4492.11,105.263,4
54,19020.4,19020.4,0,0,5
174,10651.7,9406.9,0,1244.83,5
57,-11219.3,-11219.3,0,0,3
339,4592.33,5328.61,7.07965,-2357.23,5
119,9335.29,9210.92,164.706,-40.3361,4
359,63.2312,6700.56,-5696.38,-940.947,3
35,4465.71,-7888.57,0,12354.3,5
35,11205.7,11205.7,0,0,5
699,-2891.99,-2460.66,11.4449,-448.498,3
26,0,0,0,0,5
57,-6014.04,6775.44,-12859.6,70.1754,1
88,12768.2,20313.6,-7545.45,0,5
34,-7985.29,-7985.29,0,0,5
66,-4834.85,-4956.06,121.212,0,1
35,16565.7,13817.1,114.286,2634.29,4
43,-15397.7,-4641.86,-10848.8,93.0233,2
151,-4774.17,-3425.17,-2559.6,1210.6,1
1361,4601.32,5884.57,-524.467,-114.695,5
101,6174.26,16288.1,-7982.18,-2131.68,4
22,0,0,0,0,5
718,7368.52,8361.28,-181.198,-811.56,5
251,10419.5,7078.09,1124.7,2235.86,5
27,-41144.4,-23237,-177.778,0,4
243,2204.12,3594.24,0,-1390.12,2
46,-6871.74,0,-6958.7,86.9565,4
217,4137.33,7183.87,-1762.67,922.12,5
49,-10187.8,-500,81.6327,0,3
27,296.296,148.148,0,148.148,5
52,17032.7,16955.8,76.9231,0,5
42,-38.0952,-38.0952,0,0,5
635,5529.29,5670.87,-1034.65,45.3543,5
244,13923.4,13910.2,16.3934,-3.27869,4
65,975.385,913.846,0,61.5385,5
37,36291.9,36183.8,108.108,0,5
25,36688,22732,0,13956,5
152,16177,14531.6,0,1645.39,5
19,210.526,0,0,210.526,4
49,7665.31,7665.31,0,0,5
44,-1047.73,0,-1047.73,0,5
65,3986.15,4401.54,0,-415.385,5
37,108.108,108.108,0,0,1
23,-8630.43,-8630.43,0,0,5
38,12797.4,22968.4,-10171.1,0,5
49,0,0,0,0,5
293,2435.84,3727.65,-1305.46,13.6519,5
25,84692,84372,0,160,5
82,12700,16746.3,0,-3987.8,3
106,14880.2,9841.51,2663.21,2375.47,5
61,5896.72,5831.15,65.5738,0,3
386,1759.07,3517.88,-2326.17,579.793,1
77,5894.81,5842.86,51.9481,0,3
1005,-2425.67,266.667,-1184.18,-1031.84,4
35,30582.9,30468.6,114.286,0,5
246,-3092.68,2330.08,-3937.4,-1485.37,5
105,2819.05,6461.9,-3680.95,38.0952,5
165,5681.21,11944.8,-6263.64,0,3
91,10661.5,13261.5,0,43.956,5
31,19525.8,19525.8,0,0,5
23,39717.4,39543.5,173.913,0,5
19,0,0,0,0,4
57,22077.2,22077.2,0,0,4
106,18083,18128.3,0,-45.283,4
93,16816.1,20137.6,43.0108,-3364.52,5
61,6298.36,2836.07,0,3462.3,5
62,51.6129,0,51.6129,0,4
27,13911.1,13911.1,0,0,3
1173,5095.06,8059.25,-2415.77,212.873,5
47,10483,10397.9,0,85.1064,5
210,1544.76,1529.52,19.0476,-22.8571,2
307,2684.69,3172.64,13.0293,-777.199,5
144,-2863.19,471.528,-5925,2590.28,2
102,-781.373,4439.22,0,-5220.59,1
36,-2458.33,10322.2,516.667,0,5
24,16875,16708.3,0,166.667,5
25,160,0,160,0,5
424,-10596.2,-766.509,-8192.92,-1636.79,5
302,2308.61,4943.38,39.7351,-1089.4,4
84,1195.24,1195.24,0,0,1
51,-3347.06,-3347.06,0,0,5
23,173.913,0,173.913,0,1
49,7665.31,7665.31,0,0,5
100,27872,28551,-3865,3186,5
48,12779.2,12612.5,0,166.667,5
37,-12937.8,0,0,0,3
84,2703.57,2703.57,0,0,3
41,4019.51,4039.02,-19.5122,0,5
49,-4097.96,0,-4179.59,81.6327,5
28,14178.6,14035.7,0,142.857,5
37,13545.9,13545.9,0,0,5
247,766.397,-1816.19,32.3887,367.611,5
22,181.818,181.818,0,0,5
89,7056.18,7011.24,0,44.9438,5
355,6687.32,8532.39,-5691.27,3207.61,1
134,-4491.04,5576.12,-8623.13,-1444.03,2
275,3797.45,5265.45,-1405.45,-62.5455,5
125,17748.8,16979.2,0,769.6,2
25,0,0,0,0,5
126,9800.79,9769.05,0,31.746,5
114,-15036.8,-12229.8,-2807.02,0,1
67,13689.6,12495.5,0,-11.9403,5
118,-9951.69,-7129.66,0,-2822.03,3
31,-29332.3,-1029.03,-17122.6,-11180.6,5
21,-38.0952,190.476,0,-228.571,5
133,-10615,-2449.62,-7982.71,-1618.8,3
100,-456,2911,-4369,1002,2
1680,3468.33,4261.01,-2076.79,747.917,5
138,13913,14137.7,0,-224.638,5
26,-30.7692,0,0,-30.7692,3
49,2526.53,2526.53,0,0,5
51,4529.41,0,0,4529.41,2
49,19734.7,15249,0,4485.71,5
55,19389.1,19316.4,72.7273,0,5
473,14872.3,10505.7,2383.3,843.552,5
33,-209.091,11381.8,-11590.9,0,5
43,16455.8,13681.4,93.0233,2681.4,5
25,3920,3920,0,0,5
129,5050.39,7863.57,-2875.19,62.0155,5
131,25619.1,21442,-12.2137,4189.31,5
405,2528.15,5911.85,-2735.31,-797.531,4
59,11810.2,11742.4,67.7966,0,4
77,-9931.17,-12502.6,0,2571.43,5
30,-15553.3,403.333,0,0,4
522,1195.79,1771.26,-758.812,183.333,4
231,-1540.26,1677.92,-20.7792,-1386.58,1
166,-3529.52,8366.27,-8724.1,-3171.69,3
152,6580.26,8627.63,-1363.16,2465.13,5
59,6079.66,-2293.22,0,8372.88,5
39,102.564,0,0,102.564,5
31,4370.97,6119.35,-1748.39,0,5
249,5512.85,5448.59,48.1928,16.0643,5
312,6475.96,6701.6,-985.256,759.615,5
42,-19769,-8352.38,95.2381,0,2
35,-20217.1,-4888.57,0,-15328.6,2
48,21795.8,8437.5,83.3333,13275,5
60,1993.33,1993.33,0,0,4
60,7193.33,7273.33,-80,0,5
25,0,0,0,0,5
105,19930.5,19854.3,38.0952,38.0952,5
154,-6974.03,-42.2078,25.974,-3849.35,4
52,16715.4,16715.4,0,0,5
89,4513.48,8239.33,-3725.84,0,4
34,0,0,0,0,5
56,18860.7,18946.4,-85.7143,0,5
21,28804.8,28804.8,0,0,4
93,-5897.85,5432.26,-11373.1,0,3
42,-1085.71,-11566.7,0,10481,1
184,-7214.67,-8215.76,21.7391,979.348,1
50,0,0,0,0,5
83,12797.6,14620.5,-5661.45,3838.55,5
493,3848.68,3505.48,-795.335,1148.28,4
480,-1533.12,1942.29,-2494.79,16.6667,4
